type,title,cast,release_year,duration,listed_in,plataform
TV Show,London Spy,"Ben Whishaw, Jim Broadbent, Edward Holcroft, Samantha Spiro, Charlotte Rampling, Lorraine Ashbourne, David Hayman, Clarke Peters, Adrian Lester, Harriet Walter",2015,1,"British TV Shows, Crime TV Shows, International TV Shows",netflix
Movie,Long Time Running,"Gord Downie, Paul Langlois, Gord Sinclair, Rob Baker, Johnny Fay, Justin Trudeau",2017,96,"Documentaries, International Movies, Music & Musicals",netflix
Movie,"Look Out, Officer","Stephen Chow, Bill Tung, Stanley Sui-Fan Fung, Vivian Chan, Indra Leech, Amy Yip",1990,88,"Action & Adventure, Comedies, International Movies",netflix
Movie,Look Who's Back,"Oliver Masucci, Fabian Busch, Christoph Maria Herbst, Katja Riemann, Franziska Wulf, Lars Rudolph, Michael Kessler, Thomas Thieme",2015,116,"Comedies, International Movies",netflix
Movie,Lorai: Play to Live,"Prasenjit Chatterjee, Payel Sarkar, Indrasish Roy, Kanchan Mullick, Kharaj Mukherjee, Gargi Roychowdhury, Deepankar De, Biswajit Chakraborty, Bharat Kaul, Rajat Ganguly",2015,155,"Dramas, International Movies, Sports Movies",netflix
TV Show,Los 10 años de Peter Capusotto,"Diego Capusotto, Ivana Acosta",2015,1,"International TV Shows, Spanish-Language TV Shows, TV Comedies",netflix
Movie,Los Niños Héroes de Chapultepec,,2017,88,"Documentaries, International Movies",netflix
TV Show,Los tiempos de Pablo Escobar,,2012,1,"Crime TV Shows, Docuseries, International TV Shows",netflix
Movie,Losing Sight of Shore,,2017,92,"Documentaries, Sports Movies",netflix
TV Show,Lost Girl,"Anna Silk, Kris Holden-Ried, Ksenia Solo, Richard Howland, Zoie Palmer, K.C. Collins",2015,5,"TV Dramas, TV Horror, TV Mysteries",netflix
TV Show,Love Cuisine,"Lego Lee, Allison Lin, Duncan Chow, Nita Lei, Hank Wu, Calvin Lee, Fu Lei",2015,1,"International TV Shows, Romantic TV Shows, TV Comedies",netflix
Movie,Love Dot Com: The Social Experiment,"Brave Williams, Tobias Truvillion, Kym Whitley, LisaRaye McCoy, Charles Malik Whitfield, W. Ellington Felton, Christopher Williams, Angus Whinfield, Jamie Moreen, Raheem Devaughn",2019,98,"Comedies, Romantic Movies",netflix
Movie,Love In A Puff,"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Yat Ning Chan, Tat-Ming Cheung, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok",2010,103,"Comedies, Dramas, International Movies",netflix
Movie,Love Ni Bhavai,"Malhar Thakar, Pratik Gandhi, Aarohi Patel, Maulik Jagdish Nayak, Diana Raval, Roopa Divatia, Aarti Patel",2017,163,"Comedies, International Movies, Romantic Movies",netflix
Movie,Love on Delivery,"Stephen Chow, Christy Chung, Ng Man-Tat",1994,93,"Action & Adventure, Comedies, International Movies",netflix
TV Show,Love Rain,"Keun-suk Jang, Yoon-ah Im, Shi-hoo Kim, Eun-seo Son, In-guk Seo, Bo-ra Hwang, Jin-young Jung, Mi-sook Lee",2012,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",netflix
TV Show,Love Rhythms - Accidental Daddy,Udom Taephanit,2016,1,"International TV Shows, TV Comedies, TV Dramas",netflix
Movie,Love Shot,"Dakota Loesch, Amy Tsang, John Kapelos, Cruz Kim, Victor J. Ho, Clint Jung, Daniel Phai, Cindy Chu, Brian Kurtis, Pete Herron",2018,77,"Dramas, Thrillers",netflix
Movie,Love Station,"Menna Shalaby, Sherif Salama, Yousra El Lozy, Mona Hala, Edward Fouad, Lotfy Labib, Ashraf Hamdy",2011,97,"Comedies, International Movies, Romantic Movies",netflix
Movie,Love You... Love You Not,"Chelsea Islan, Hamish Daud, Miller Khan, Kemal Pahlevi, R.R. Melati Pinaring, Fico Fachriza, Reynold Hamzah, Rizka Dwi Septiana, Arkanda Saezario Wicaksono",2015,115,"Comedies, International Movies, Romantic Movies",netflix
TV Show,Love Your Garden,"Alan Titchmarsh, David Domoney, Frances Tophill, Katie Rushworth",2013,1,"British TV Shows, International TV Shows, Reality TV",netflix
Movie,"Love, Rosie","Lily Collins, Sam Claflin, Christian Cooke, Jamie Beamish, Suki Waterhouse, Tamsin Egerton, Jaime Winstone, Lorcan Cranitch",2014,103,"Comedies, International Movies, Romantic Movies",netflix
Movie,LoveTrue,,2016,82,Documentaries,netflix
Movie,Loving Annabelle,"Erin Kelly, Diane Gaidry, Laura Breckenridge, Michelle Horn, Gustine Fudickar, Ilene Graff, Kevin McCarthy, Markus Flanagan",2006,77,"Dramas, Independent Movies, LGBTQ Movies",netflix
Movie,Loving You,"Lau Ching Wan, Carman Lee, Tsung-Hua To, Chung-wai Lee, Ruby Wong",1995,79,"Dramas, International Movies",netflix
Movie,Lucha: Playing the Impossible,Luciana Aymar,2016,98,"Documentaries, International Movies, Sports Movies",netflix
TV Show,Lucky Days,"Chris Wang, Tammy Chen, Fan Kuang-yao, Chen Bor Jeng, Lin Mei-hsiu, Ma Nien-hsien",2010,1,"International TV Shows, Romantic TV Shows, TV Comedies",netflix
Movie,Lucky: No Time for Love,"Salman Khan, Sneha Ullal, Mithun Chakraborty, Kader Khan, Navni Parihar, Ravi Baswani, Vikram Gokhale, Mumait Khan",2005,131,"Dramas, International Movies, Romantic Movies",netflix
Movie,Lupt,"Javed Jaffrey, Vijay Raaz, Karan Aanand, Niki Walia, Meenakshi Dixit, Rishabh Chaddha, Rishina Kandhari, Kiearra Soni",2018,110,"Horror Movies, International Movies, Thrillers",netflix
Movie,Lusers,"Carlos Alcántara, Pablo Granados, Felipe Izquierdo, Gaby Espino, Cristián de la Fuente, Marcela Guerty, Claudio Torres",2015,100,"Comedies, International Movies, Sports Movies",netflix
Movie,Ma Chu Ka,"Pasupathy, Janani Iyer, Pratap Pothen",2017,117,"International Movies, Thrillers",netflix
Movie,Maacher Jhol,"Ritwick Chakraborty, Mamata Shankar, Paoli Dam, Kaya Blocksage, Sauraseni Maitra, Arjun Chakrabarty",2017,107,"Dramas, International Movies",netflix
Movie,Mac & Devin Go to High School,"Snoop Dogg, Wiz Khalifa, Mike Epps, Teairra Mari, Derek Kane, Luenell, Teni Panosian, Paul Iacono, Andy Milonakis, Mystikal",2012,76,Comedies,netflix
Movie,Macchli Jal Ki Rani Hai,"Swara Bhaskar, Bhanu Uday, Murli Sharma, Deep Raj Rana, Reema Debnath, Hemant Pandey, Saurabh Dubey, Sakha Kalyani",2014,118,"Horror Movies, International Movies",netflix
